Date,Urban Congestion Index,Domestic Migration Data,Cumulitive Migration Data,Regional GDP of NCR,Growth Rate of Regional GDP of NCR,Metro Manila Population,Growth Rate of Metro Manila Population
12/1/2012,0.193477076,31,31,4072189800,0,12267000,0
1/1/2013,0.103904461,35,66,4094495542,0.005477579,12283250,0.001324692
2/1/2013,0.123305056,15,81,4116801284,0.005447739,12299500,0.00132294
3/1/2013,0.208675934,40,121,4139107026,0.005418222,12315750,0.001321192
4/1/2013,0.192683276,45,166,4161412768,0.005389023,12332000,0.001319449
5/1/2013,0.24217619,53,219,4183718510,0.005360137,12348250,0.00131771
6/1/2013,0.182436304,55,274,4206024252,0.005331559,12364500,0.001315976
7/1/2013,0.291651183,14,288,4228329994,0.005303284,12380750,0.001314246
8/1/2013,0.274116798,21,309,4250635736,0.005275308,12397000,0.001312521
9/1/2013,0.307506167,20,329,4272941478,0.005247625,12413250,0.001310801
10/1/2013,0.260573315,18,347,4295247220,0.005220231,12429500,0.001309085
11/1/2013,0.347247322,17,364,4317552962,0.005193122,12445750,0.001307374
12/1/2013,0.356216107,22,386,4339858704,0.005166293,12462000,0.001305667
1/1/2014,0.279015582,31,417,4359613388,0.004551919,12478417,0.001317338
2/1/2014,0.251225167,18,435,4379368072,0.004531293,12494833,0.001315605
3/1/2014,0.361455164,35,470,4399122756,0.004510853,12511250,0.001313876
4/1/2014,0.268843991,43,513,4418877440,0.004490596,12527667,0.001312152
5/1/2014,0.375060738,60,573,4438632124,0.004470521,12544083,0.001310433
6/1/2014,0.328075392,56,629,4458386808,0.004450624,12560500,0.001308718
7/1/2014,0.390142098,24,653,4478141491,0.004430904,12576917,0.001307007
8/1/2014,0.430884664,34,687,4497896175,0.004411358,12593333,0.001305301
9/1/2014,0.396450281,19,706,4517650859,0.004391983,12609750,0.0013036
10/1/2014,0.490363785,11,717,4537405543,0.004372778,12626167,0.001301903
11/1/2014,0.447292388,20,737,4557160227,0.00435374,12642583,0.00130021
12/1/2014,0.449907469,16,753,4576914911,0.004334867,12659000,0.001298522
1/1/2015,0.290463086,44,797,4600928136,0.005246596,12675750,0.001323169
2/1/2015,0.354581034,10,807,4624941361,0.005219213,12692500,0.001321421
3/1/2015,0.466493285,37,844,4648954585,0.005192114,12709250,0.001319677
4/1/2015,0.345993846,37,881,4672967810,0.005165296,12726000,0.001317938
5/1/2015,0.418195893,64,945,4696981035,0.005138752,12742750,0.001316203
6/1/2015,0.42490569,57,1002,4720994260,0.005112481,12759500,0.001314473
7/1/2015,0.456506003,22,1024,4745007484,0.005086476,12776250,0.001312747
8/1/2015,0.480103871,22,1046,4769020709,0.005060735,12793000,0.001311026
9/1/2015,0.512467381,12,1058,4793033934,0.005035253,12809750,0.00130931
10/1/2015,0.538710069,17,1075,4817047159,0.005010026,12826500,0.001307598
11/1/2015,0.418461178,17,1092,4841060383,0.004985051,12843250,0.00130589
12/1/2015,0.536275408,19,1111,4865073608,0.004960323,12860000,0.001304187
1/1/2016,0.543990174,42,1153,4894325095,0.006012548,12877000,0.001321928
2/1/2016,0.521099232,30,1183,4923576582,0.005976613,12894000,0.001320183
3/1/2016,0.564106042,29,1212,4952828069,0.005941105,12911000,0.001318443
4/1/2016,0.643922764,50,1262,4982079556,0.005906017,12928000,0.001316707
5/1/2016,0.59115385,54,1316,5011331043,0.005871341,12945000,0.001314975
6/1/2016,0.620611263,51,1367,5040582531,0.005837069,12962000,0.001313248
7/1/2016,0.663617557,22,1389,5069834018,0.005803196,12979000,0.001311526
8/1/2016,0.675820759,22,1411,5099085505,0.005769713,12996000,0.001309808
9/1/2016,0.708807985,25,1436,5128336992,0.005736614,13013000,0.001308095
10/1/2016,0.596605252,22,1458,5157588479,0.005703893,13030000,0.001306386
11/1/2016,0.57182211,24,1482,5186839966,0.005671543,13047000,0.001304682
12/1/2016,0.582420967,27,1509,5216091453,0.005639558,13064000,0.001302982
1/1/2017,0.658509284,37,1546,5240390585,0.004658494,13081333,0.001326801
2/1/2017,0.609408566,13,1559,5264689717,0.004636893,13098667,0.001325043
3/1/2017,0.673706587,25,1584,5288988849,0.004615492,13116000,0.00132329
4/1/2017,0.498199643,32,1616,5313287981,0.004594287,13133333,0.001321541
5/1/2017,0.634996868,64,1680,5337587113,0.004573276,13150667,0.001319797
6/1/2017,0.793911354,46,1726,5361886246,0.004552456,13168000,0.001318057
7/1/2017,0.742249967,13,1739,5386185378,0.004531825,13185333,0.001316322
8/1/2017,0.690696042,21,1760,5410484510,0.004511381,13202667,0.001314592
9/1/2017,0.658090198,37,1797,5434783642,0.004491119,13220000,0.001312866
10/1/2017,0.70570995,23,1820,5459082774,0.004471039,13237333,0.001311145
11/1/2017,0.545513624,27,1847,5483381906,0.004451138,13254667,0.001309428
12/1/2017,0.526768861,27,1874,5507681038,0.004431413,13272000,0.001307716
1/1/2018,0.653482065,23,1897,5533244296,0.004641383,13289500,0.001318565
2/1/2018,0.715700053,19,1916,5558807553,0.00461994,13307000,0.001316829
3/1/2018,0.780287204,28,1944,5584370811,0.004598694,13324500,0.001315097
4/1/2018,0.704201103,36,1980,5609934069,0.004577643,13342000,0.00131337
5/1/2018,0.732001918,35,2015,5635497326,0.004556784,13359500,0.001311647
6/1/2018,0.748239703,42,2057,5661060584,0.004536114,13377000,0.001309929
7/1/2018,0.771343934,13,2070,5686623842,0.00451563,13394500,0.001308216
8/1/2018,0.831684265,7,2077,5712187099,0.004495331,13412000,0.001306506
9/1/2018,0.833938668,0,2077,5737750357,0.004475214,13429500,0.001304802
10/1/2018,0.862225525,0,2077,5763313615,0.004455275,13447000,0.001303101
11/1/2018,0.695287455,3,2080,5788876872,0.004435514,13464500,0.001301406
12/1/2018,0.871598615,1,2081,5814440130,0.004415927,13482000,0.001299714
